16067,"Oct 3, 2013 to Apr 3, 2014",Thursdays at 22:00 (JST),23 min. per ep.,26,"6,444","Drama , Fantasy , Romance","NIS America, Inc.","257,044",#181,Fall 2013,"Geneon Universal Entertainment , Sotsu , Animax , Rondo Robe , Showgate , Infinite",#242,PG-13 - Teens 13 or older,8.28,Original,Finished Airing,P.A. Works,Nagi no Asukara (A Lull in the Sea),TV,"111,251"
16091,"Dec 21, 2012 to Mar 15, 2013",-1,24 min. per ep.,2,11,"Hentai , Horror , Supernatural","None found, add some","2,117",#5965,-1,"MS Pictures , Studio Eromatick",N/A,Rx - Hentai,6.32,Visual novel,Finished Airing,"None found, add some",Mouryou no Nie,OVA,698
16099,"Oct 24, 2012 to Jun 26, 2013",-1,11 min. per ep.,9,164,Comedy,Aniplex of America,"54,294",#1190,-1,"Aniplex , I was a Ballerina",#5706,PG-13 - Teens 13 or older,6.41,Light novel,Finished Airing,A-1 Pictures,Sword Art Online: Sword Art Offline,Special,"24,725"
16101,28-Oct-12,-1,7 min.,1,1,"Fantasy , Seinen","None found, add some","3,436",#4976,-1,"None found, add some",#5022,PG-13 - Teens 13 or older,6.59,Unknown,Finished Airing,AIC A.S.T.A.,"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo",ONA,"1,052"
16119,27-Feb-13,-1,3 min.,1,1,"Historical , Josei","None found, add some","1,133",#7155,-1,"None found, add some",#4667,PG-13 - Teens 13 or older,6.68,Unknown,Finished Airing,TYO Animations,Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,Special,202
16123,"Jan 6, 2014 to Apr 7, 2014",Mondays at 01:35 (JST),24 min. per ep.,13,97,"Game , School , Slice of Life","None found, add some","20,543",#2271,Winter 2014,"TV Tokyo , Square Enix , Lantis , Pony Canyon",#1650,PG-13 - Teens 13 or older,7.48,Manga,Finished Airing,Studio Gokumi,Saki Zenkoku-hen (Saki: The Nationals),TV,"9,446"
16131,"Jun 3, 1987 to Dec 30, 1987",Unknown,25 min. per ep.,31,0,"Action , Mecha , Sci-Fi","None found, add some",274,#9501,Summer 1987,"TV Tokyo , Trans Arts , Ashi Production",#9988,PG-13 - Teens 13 or older,6.37,Unknown,Finished Airing,"None found, add some",Machine Robo: Butchigiri Battle Hackers,TV,43
16143,22-Dec-99,-1,24 min.,1,9,"Adventure , Comedy , Fantasy , Shounen","None found, add some","6,700",#3830,-1,"Fuji TV , TAP",#2187,PG-13 - Teens 13 or older,7.34,Manga,Finished Airing,Toei Animation,One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou,Special,"2,565"
16149,26-May-13,-1,12 min.,1,7,"Sports , Comedy , Romance","None found, add some","8,756",#3410,-1,"None found, add some",#5899,PG-13 - Teens 13 or older,6.35,Unknown,Finished Airing,Production I.G,Kick-Heart,Movie,"5,099"
16151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16157,"Jul 12, 2013 to Sep 27, 2013",Unknown,24 min. per ep.,12,911,"Action , Comedy , Fantasy , Parody , Sci-Fi , Supernatural",FUNimation Entertainment,"81,623",#838,Summer 2013,"Frontier Works , Media Factory , Idea Factory , Magic Capsule",#2914,PG-13 - Teens 13 or older,7.14,Game,Finished Airing,David Production,Choujigen Game Neptune The Animation (Hyperdimension Neptunia),TV,"31,366"
16158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16159,"Jan 7, 1965 to Jan 20, 1966",Thursdays at 18:00 (JST),25 min. per ep.,52,0,"Action , Comedy , Super Power , Sci-Fi","None found, add some",136,#10732,Winter 1965,"TBS , TCJ",#10159,G - All Ages,5.88,Original,Finished Airing,"None found, add some",Mirai Kara Kita Shounen Super Jetter,TV,16
16163,03-Nov-89,-1,1 hr. 14 min.,1,1,"Kids , Adventure , Comedy , Super Power","None found, add some",139,#10691,-1,"None found, add some",#10985,PG - Children,6.1,Unknown,Finished Airing,"None found, add some",Sore Ike! Anpanman: Kirakira Boshi no Namida,Movie,30
16165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16169,"Jan 3, 2013 to Mar 27, 2013",Unknown,3 min. per ep.,13,37,"Comedy , Slice of Life","None found, add some","19,608",#2338,Winter 2013,"AT-X , Takeshobo , Dream Creation , SPO Entertainment",#7102,PG-13 - Teens 13 or older,5.88,4-koma manga,Finished Airing,Seven,Choboraunyopomi Gekijou Ai Mai Mii (Ai-Mai-Mi),TV,"8,601"
16170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16183,19-Dec-12,-1,3 min. per ep.,10,1,"Parody , Comedy","None found, add some",670,#8065,-1,"None found, add some",#7300,PG-13 - Teens 13 or older,5.77,Unknown,Finished Airing,TMS Entertainment,Lupin Shanshei,OVA,117
16187,22-Mar-13,-1,30 min.,1,10,Hentai,"None found, add some","2,005",#6076,-1,Lune Pictures,N/A,Rx - Hentai,6.36,Visual novel,Finished Airing,"None found, add some","Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""",OVA,784
16189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
