ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
2828,"Oct 2, 1977 to Oct 1, 1978",24 min. per ep.,51,"Adventure, Drama, Historical, Kids, Slice of Life",4286,731,G - All Ages,7.87,1638,Novel,Finished Airing,"Madhouse,       TMS Entertainment",Ie Naki Ko,TV
2829,"Sep 1, 1996 to Mar 23, 1997",23 min. per ep.,23,"Adventure, Slice of Life, Historical, Drama",3632,486,G - All Ages,8.04,3710,Novel,Finished Airing,Nippon Animation,Ie Naki Ko Remi (Sans Famille),TV
2830,17-Mar-70,1 hr. 21 min.,1,"Slice of Life, Adventure, Drama",8901,6271,G - All Ages,6.24,112,Unknown,Finished Airing,Toei Animation,Chibikko Remi to Meiken Kapi,Movie
2831,15-Mar-80,1 hr. 36 min.,1,"Slice of Life, Adventure, Drama",8490,4349,PG - Children,6.76,144,Unknown,Finished Airing,"None found, add some",Ie Naki Ko (Movie),Movie
2832,"Jun 7, 2007 to Jun 27, 2007",1 min. per ep.,15,"Slice of Life, Adventure, Fantasy, Magic, Game, Martial Arts, Comedy, Mecha, Super Power, Supernatural, School, Drama, Sci-Fi",2795,3509,PG-13 - Teens 13 or older,6.98,6843,Original,Finished Airing,"Gonzo,       Gainax,       Production I.G,       Madhouse,       Studio 4°C,       Satelight,       CoMix Wave Films",Ani*Kuri15,Special
2833,20-Mar-65,1 hr. 20 min.,1,"Adventure, Sci-Fi",8304,6494,G - All Ages,6.17,213,Unknown,Finished Airing,Toei Animation,Gulliver no Uchuu Ryokou,Movie
2834,"Jan 8, 1993 to Dec 24, 1993",24 min. per ep.,51,"Drama, Magic, Shoujo",5873,2523,G - All Ages,7.25,701,Manga,Finished Airing,Japan Taps,Miracle\xe2\x98\x86Girls,TV
2835,"Apr 9, 1982 to May 13, 1983",24 min. per ep.,49,"Adventure, Comedy, Romance, Shoujo, Shounen Ai",5406,1302,PG - Children,7.6,444,Manga,Finished Airing,Toei Animation,Patalliro!,TV
2836,"Apr 3, 1974 to Sep 24, 1975",24 min. per ep.,78,"Adventure, Comedy, Historical, Kids",6566,5066,G - All Ages,6.58,787,Unknown,Finished Airing,Nippon Animation,Chiisana Viking Vickie,TV
2837,"Jan 21, 1991 to Apr 21, 1991",42 min. per ep.,2,"Action, Comedy, Mecha, Sci-Fi",8039,7351,PG-13 - Teens 13 or older,5.74,268,Unknown,Finished Airing,J.C.Staff,Ariel Deluxe,OVA
2838,"Dec 19, 1997 to Jun 27, 1998",30 min. per ep.,3,"Adventure, Fantasy, Hentai, Romance",8119,/A,Rx - Hentai,5.87,228,Visual novel,Finished Airing,"None found, add some",Toushin Toshi II (Tournament of the Gods: Title Match),OVA
2839,"Jul 21, 1989 to Aug 21, 1989",28 min. per ep.,2,"Action, Comedy, Mecha, Sci-Fi",7883,7611,PG-13 - Teens 13 or older,5.56,268,Original,Finished Airing,J.C.Staff,Ariel Visual,OVA
2840,25-Mar-05,54 min.,1,"Comedy, Parody",7019,6067,G - All Ages,6.31,542,Unknown,Finished Airing,"None found, add some",Youkoso Lodoss-tou e! (Welcome to Lodoss Island!),Movie
2841,"Apr 29, 2005 to Jun 24, 2005",30 min. per ep.,2,Hentai,3769,/A,Rx - Hentai,6.84,3296,Visual novel,Finished Airing,"None found, add some",Kuro Ai: Hitoyozumakan Inkou Rannyuuroku (Dark Love),OVA
2842,8-Sep-06,20 min.,1,"Adventure, Fantasy",3361,4942,PG - Children,6.62,4848,Game,Finished Airing,OLM,Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,Special
2847,15-Jul-07,1 hr. 30 min.,1,"Action, Adventure, Comedy, Drama, Fantasy, Kids",1442,2189,PG - Children,7.34,27249,Game,Finished Airing,OLM,Pokemon Diamond &amp; Pearl: Dialga vs. Palkia vs. Darkrai,Movie
2848,28-Jul-07,2 hr. 21 min.,1,"Adventure, Shounen",3601,1227,PG - Children,7.63,3393,Original,Finished Airing,Shin-Ei Animation,Kappa no Coo to Natsuyasumi (Summer Days with Coo),Movie
2851,15-Jul-95,26 min.,1,"Action, Adventure, Comedy, Historical, Martial Arts, Shounen",7500,6380,G - All Ages,6.21,428,Manga,Finished Airing,Studio Pierrot,Ninkuu (Movie),Movie
2852,"Jan 26, 2007 to Feb 26, 2010",28 min. per ep.,4,Hentai,3534,/A,Rx - Hentai,6.98,3440,Manga,Finished Airing,Flavors Soft,Accelerando: Datenshi-tachi no Sasayaki,OVA
2858,"Dec 24, 2004 to Jan 28, 2005",30 min. per ep.,2,Hentai,4662,/A,Rx - Hentai,6.3,1653,Visual novel,Finished Airing,"None found, add some",Ikusa Otome Valkyrie (Ride of the Valkyrie),OVA
2859,"Feb 24, 2006 to May 25, 2007",30 min. per ep.,2,Hentai,5876,/A,Rx - Hentai,6.24,817,Visual novel,Finished Airing,"None found, add some",Ikusa Otome Valkyrie Shinshou,OVA
2861,"Feb 27, 2004 to May 28, 2004",30 min. per ep.,2,Hentai,5401,/A,Rx - Hentai,6.47,929,Manga,Finished Airing,"None found, add some",Seifuku Shojo The Animation,OVA
2862,"Jul 30, 2004 to Oct 29, 2004",30 min. per ep.,2,Hentai,5612,/A,Rx - Hentai,5.19,1136,Visual novel,Finished Airing,AT-2,Tokineiro,OVA
2863,"Apr 21, 2001 to Nov 21, 2001",30 min. per ep.,3,Hentai,5679,/A,Rx - Hentai,5.95,1002,Unknown,Finished Airing,8bit,21-ji no Onna: Newscaster Katsuragi Miki,OVA
2864,"Feb 25, 1998 to Mar 25, 1998",24 min. per ep.,2,Hentai,6655,/A,Rx - Hentai,5.4,571,Unknown,Finished Airing,"None found, add some",2x1 (Four Play),OVA
2866,"Aug 26, 2006 to Sep 15, 2007",26 min. per ep.,4,Hentai,3506,/A,Rx - Hentai,6.93,3764,Visual novel,Finished Airing,"None found, add some",Ane\xe2\x98\x86Haramix,OVA
2867,"Dec 22, 2006 to Mar 23, 2007",30 min. per ep.,2,Hentai,3474,/A,Rx - Hentai,7.14,3533,Visual novel,Finished Airing,"None found, add some",Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,OVA
2868,25-Aug-06,30 min.,1,Hentai,4929,/A,Rx - Hentai,6.39,1525,Visual novel,Finished Airing,Flavors Soft,Kazama Mana,OVA
2869,4-Dec-05,35 min.,1,Hentai,4922,/A,Rx - Hentai,6.31,1455,Visual novel,Finished Airing,Flavors Soft,Nanase Ren,OVA
2870,21-Dec-06,30 min.,1,Hentai,4647,/A,Rx - Hentai,6.57,1805,Visual novel,Finished Airing,Flavors Soft,Yagami Yuu (Night Shift Nurses: Yagami Yu),OVA
2871,"Jun 11, 2004 to Sep 10, 2004",29 min. per ep.,2,"Hentai, School",3964,/A,Rx - Hentai,6.3,2701,Visual novel,Finished Airing,"None found, add some",Bakunyuu Oyako,OVA
2872,"Oct 26, 2001 to Apr 5, 2002",30 min. per ep.,3,Hentai,6478,/A,Rx - Hentai,5.99,539,Visual novel,Finished Airing,"None found, add some",Asgaldh: The Distortion Testament (F-Force),OVA
2873,"Jul 25, 2005 to Apr 25, 2006",30 min. per ep.,2,Hentai,3113,/A,Rx - Hentai,6.97,5713,Visual novel,Finished Airing,Studio Jam,Bible Black Only Version,OVA
2874,30-Nov-99,30 min.,1,Hentai,7481,/A,Rx - Hentai,5.59,373,Unknown,Finished Airing,"None found, add some",Charm Point 1: Sister&#039;s Rondo,OVA
2875,"Aug 11, 2006 to Jan 12, 2007",30 min. per ep.,2,Hentai,5233,/A,Rx - Hentai,6.4,1199,Original,Finished Airing,"None found, add some",Chikan Monogatari (Legend of the Pervert),OVA
2876,27-Oct-79,1 hr. 20 min.,1,"Fantasy, Kids",9067,7388,PG - Children,5.72,97,Unknown,Finished Airing,"None found, add some",Hoshi no Orpheus (Winds of Change),Movie
2881,"Dec 18, 1995 to Jan 25, 1998",30 min. per ep.,3,"Drama, Military",7330,5333,PG-13 - Teens 13 or older,6.51,361,Manga,Finished Airing,Sunrise,Chinmoku no Kantai (Silent Service),OVA
2882,"Oct 9, 1981 to Mar 29, 1982",24 min. per ep.,26,"Kids, Adventure, Fantasy, Historical, Sci-Fi",7143,6903,G - All Ages,5.99,496,Original,Finished Airing,Tatsunoko Production,Anime Oyako Gekijou (Superbook),TV
2883,23-Feb-07,33 min.,1,"Hentai, Parody",4986,/A,Rx - Hentai,6.51,1504,Manga,Finished Airing,"None found, add some",Iyashite Agerun Saiyuuki (Karma Saiyuki),OVA
2884,28-Jun-06,1 hr. 28 min.,1,"Action, Comedy",4020,3916,R+ - Mild Nudity,6.86,3000,Unknown,Finished Airing,"None found, add some",Aachi wa Ssipak (Aachi and Ssipak),Movie
2885,"Oct 4, 1997 to Mar 28, 1998",24 min. per ep.,23,"Comedy, Shounen",7851,6113,G - All Ages,6.29,178,Game,Finished Airing,"None found, add some",Ganbare Goemon (Legend of the Mystical Ninja),TV
2889,22-Dec-07,1 hr. 32 min.,1,"Action, Adventure, Supernatural, Shounen",437,1338,PG-13 - Teens 13 or older,7.58,92964,Manga,Finished Airing,Studio Pierrot,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,Movie
2890,19-Jul-08,1 hr. 41 min.,1,"Adventure, Fantasy",372,630,G - All Ages,7.93,108109,Original,Finished Airing,Studio Ghibli,Gake no Ue no Ponyo (Ponyo),Movie
2891,4-Jul-07,30 min.,1,Fantasy,2982,3013,G - All Ages,7.12,4839,Other,Finished Airing,Studio Ghibli,Iblard Jikan,OVA
2892,"Oct 5, 1969 to Sep 27, 1970",24 min. per ep.,52,"Comedy, Fantasy",7837,6495,G - All Ages,6.17,368,Unknown,Finished Airing,Tatsunoko Production,Hakushon Daimaou (Bob in the Bottle),TV
2894,"Feb 18, 2000 to May 18, 2000",30 min. per ep.,2,Hentai,6605,/A,Rx - Hentai,5.54,598,Unknown,Finished Airing,"None found, add some",Kinbaku no Yakata: Ryakudatsu (Bondage Mansion),OVA
2895,1-Oct-01,16 min.,1,Adventure,6363,4765,G - All Ages,6.66,190,Picture book,Finished Airing,Studio Ghibli,Kujiratori (The Whale Hunt),Movie
2896,"Jan 25, 2005 to Sep 25, 2005",29 min. per ep.,3,Hentai,3962,/A,Rx - Hentai,6.56,2907,Visual novel,Finished Airing,"None found, add some",Houkago: Nureta Seifuku (After Class Lesson),OVA
2897,1-Nov-92,1 min.,1,Comedy,6404,7832,PG - Children,5.39,907,Unknown,Finished Airing,Studio Ghibli,Nandarou,Special
2899,2-Aug-07,23 min.,1,Mystery,1302,2287,PG-13 - Teens 13 or older,7.31,27781,Light novel,Finished Airing,Studio Deen,Higurashi no Naku Koro ni Special: Nekogoroshi-hen,Special
2901,23-Dec-99,1 hr. 34 min.,1,"Action, Comedy, Mystery, Police",7626,2518,PG-13 - Teens 13 or older,7.25,318,Manga,Finished Airing,Studio Gallop,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,Movie
2903,"Feb 25, 1988 to Nov 14, 1988",24 min. per ep.,34,"Action, Comedy, Martial Arts, School, Shounen",4193,1684,R - 17+ (violence & profanity),7.47,1281,Manga,Finished Airing,Toei Animation,Sakigake!! Otokojuku (Charge!! Men&#039;s Private School),TV
2904,"Apr 6, 2008 to Sep 28, 2008",24 min. per ep.,25,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",20,15,R - 17+ (violence & profanity),8.96,455794,Original,Finished Airing,Sunrise,Code Geass: Hangyaku no Lelouch R2,TV
2905,"Jun 24, 2007 to Nov 24, 2007",3 min. per ep.,6,"Ecchi, Martial Arts, School, Super Power",2571,4215,R+ - Mild Nudity,6.79,8306,Unknown,Finished Airing,"None found, add some",Ikkitousen: Dragon Destiny Specials,Special
2906,5-Jun-88,56 min.,1,"Action, Mecha, Sci-Fi, Space",8746,6790,PG-13 - Teens 13 or older,6.05,144,Unknown,Finished Airing,"None found, add some",Rokushin Gattai GodMars: Juunanasai no Densetsu,OVA
2907,"Oct 2, 1999 to Jan 6, 2001",25 min. per ep.,66,"Comedy, Sci-Fi",4898,2766,PG - Children,7.18,1777,Manga,Finished Airing,Studio Bogey,Cyborg Kuro-chan,TV
2910,"Jul 22, 2005 to Jan 27, 2006",3 min. per ep.,7,"Comedy, Ecchi",6432,6966,PG-13 - Teens 13 or older,5.96,567,Unknown,Finished Airing,"None found, add some",Koi Koi 7 Specials (Love Love 7 DVD Specials),Special
2911,"Jul 3, 2007 to Aug 13, 2007",5 min. per ep.,6,"Drama, Magic, Romance, Shounen",4638,4482,PG-13 - Teens 13 or older,6.73,1494,Manga,Finished Airing,TNK,Kyoushirou to Towa no Sora Specials,Special
2912,"Mar 7, 1981 to May 29, 1982",25 min. per ep.,63,"Comedy, Slice of Life",7244,4606,G - All Ages,6.7,585,Manga,Finished Airing,TMS Entertainment,Ohayo! Spank,TV
2913,"Jan 12, 1992 to Dec 20, 1992",24 min. per ep.,40,"Adventure, Drama",7364,2918,G - All Ages,7.14,297,Unknown,Finished Airing,Nippon Animation,Daisougen no Chiisana Tenshi: Bush Baby,TV
2915,8-Oct-97,1 hr. 14 min.,1,Drama,7764,5377,PG - Children,6.5,295,Unknown,Finished Airing,"None found, add some",Chikyuu ga Ugoita Hi (The Day the Earth Moved),Movie
2916,"Apr 1, 1992 to Feb 24, 1993",24 min. per ep.,47,"Mecha, Shounen",8836,3420,PG - Children,7.01,118,Original,Finished Airing,Sunrise,Genki Bakuhatsu Ganbaruger (Energetic Bomb Ganbaruger),TV
2917,"Oct 25, 2002 to May 30, 2003",30 min. per ep.,3,"Comedy, Hentai",6033,/A,Rx - Hentai,6.45,755,Unknown,Finished Airing,AT-2,Seijun Kango Gakuin (Nurse Me!),OVA
2920,8-Mar-80,2 hr. 33 min.,1,"Action, Drama, Shounen, Sports",6352,2502,PG-13 - Teens 13 or older,7.25,539,Unknown,Finished Airing,Mushi Production,Ashita no Joe (Movie),Movie
2921,"Oct 13, 1980 to Aug 31, 1981",24 min. per ep.,47,"Action, Drama, Shounen, Slice of Life, Sports",3566,87,PG-13 - Teens 13 or older,8.53,2827,Manga,Finished Airing,Tokyo Movie Shinsha,Ashita no Joe 2 (Rocky Joe 2),TV
2922,4-Jul-81,1 hr. 52 min.,1,"Drama, Sports",6524,1616,PG-13 - Teens 13 or older,7.48,489,Unknown,Finished Airing,Tokyo Movie Shinsha,Ashita no Joe 2 (Movie),Movie
2923,"Oct 6, 2007 to Sep 27, 2008",24 min. per ep.,51,"Comedy, Magic, School, Shoujo",487,1355,PG - Children,7.58,60818,Manga,Finished Airing,Satelight,Shugo Chara!,TV
2924,"Oct 7, 2007 to Dec 23, 2007",24 min. per ep.,12,"Mystery, Drama, Romance",365,431,PG-13 - Teens 13 or older,8.09,76255,Visual novel,Finished Airing,Shaft,ef: A Tale of Memories. (ef - a tale of memories.),TV
2926,"Oct 3, 2007 to Dec 26, 2007",25 min. per ep.,13,"Drama, Romance, School",512,2046,PG-13 - Teens 13 or older,7.38,67126,Visual novel,Finished Airing,Doga Kobo,Myself; Yourself,TV
2927,"Oct 7, 2007 to Mar 23, 2008",24 min. per ep.,24,"Drama, Romance, School",1061,1723,PG-13 - Teens 13 or older,7.46,30037,Visual novel,Finished Airing,J.C.Staff,Kimikiss Pure Rouge (Kimikiss: Pure Rouge),TV
2928,18-Jan-07,24 min.,1,"Magic, Adventure, Fantasy, Game, Sci-Fi, Drama",2604,3839,PG-13 - Teens 13 or older,6.88,7063,Game,Finished Airing,Bee Train,.hack//G.U. Returner,OVA
2929,"Sep 13, 2007 to Dec 13, 2007",25 min. per ep.,14,"Adventure, Drama, Sci-Fi, Space",5252,1601,R+ - Mild Nudity,7.49,1101,Manga,Finished Airing,Studio Hibari,Moonlight Mile 2nd Season: Touch Down,TV
2930,"Oct 6, 2007 to Dec 22, 2007",23 min. per ep.,12,Comedy,11311,11169,G - All Ages,5,7,Original,Finished Airing,Production I.G,Tensai? Dr. Hamax,TV
2931,"Oct 3, 2007 to Mar 16, 2008",24 min. per ep.,24,"Slice of Life, Supernatural, Mystery",3387,2812,PG - Children,7.17,1762,Manga,Finished Airing,"Madhouse,       Tezuka Productions",Mokke,TV
2933,"Jan 9, 1983 to Dec 24, 1983",23 min. per ep.,50,"Police, Comedy, Sci-Fi",7678,3702,PG-13 - Teens 13 or older,6.93,196,Manga,Finished Airing,Tatsunoko Production,Mirai Keisatsu Urashiman (Future Police Urashiman),TV
2934,"Oct 2, 2001 to Sep 24, 2002",25 min. per ep.,51,Comedy,6956,4028,G - All Ages,6.84,106,Manga,Finished Airing,"None found, add some",Shiawase Sou no Okojo-san,TV
2935,"Jun 27, 2003 to Apr 30, 2004",30 min. per ep.,2,Hentai,6735,/A,Rx - Hentai,6.19,578,Visual novel,Finished Airing,AT-2,Ryokan Shirasagi (Swallowtail Inn),OVA
2936,"Mar 25, 2003 to Jul 25, 2003",30 min. per ep.,2,Hentai,7747,/A,Rx - Hentai,5.46,310,Visual novel,Finished Airing,"None found, add some",Private Emotion,OVA
2937,5-Dec-93,17 min.,1,Shoujo,3105,2661,PG-13 - Teens 13 or older,7.21,5144,Manga,Finished Airing,Toei Animation,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Special
2938,"Apr 3, 1989 to Mar 26, 1990",20 min. per ep.,51,Music,6071,3748,PG-13 - Teens 13 or older,6.91,558,Original,Finished Airing,Production Reed,Idol Densetsu Eriko,TV
2941,15-Aug-03,1 hr. 15 min.,1,"Action, Mecha, Sci-Fi",7402,7694,PG-13 - Teens 13 or older,5.5,510,Unknown,Finished Airing,"None found, add some",Elysium,Movie
2942,"Oct 2, 2007 to Dec 25, 2007",23 min. per ep.,13,"Slice of Life, Comedy",2423,1740,G - All Ages,7.46,6176,4-koma manga,Finished Airing,Hal Film Maker,Sketchbook: Full Color&#039;s (Sketchbook ~full color&#039;s~),TV
2943,"Jun 25, 2002 to May 27, 2003",30 min. per ep.,3,"Hentai, School",5402,/A,Rx - Hentai,6.39,995,Unknown,Finished Airing,Studio Jam,Inbaku Gakuen (School of Bondage),OVA
2944,"Jan 10, 2003 to Apr 11, 2003",30 min. per ep.,2,"Dementia, Fantasy, Hentai, Horror",6135,/A,Rx - Hentai,5.53,676,Unknown,Finished Airing,"None found, add some",Seisai (Perverse Investigations),OVA
2945,"Feb 25, 2005 to May 25, 2005",30 min. per ep.,2,Hentai,5428,/A,Rx - Hentai,6.39,1141,Original,Finished Airing,"None found, add some",Hitozuma Ryoujoku Sankanbi (Desperate Carnal Housewives),OVA
2946,"Jan 25, 2003 to Apr 25, 2003",30 min. per ep.,2,"Action, Mecha, Hentai, Military, Historical",5052,/A,Rx - Hentai,5.7,1423,Unknown,Finished Airing,"None found, add some",Angel Core: Tenshi-tachi no Sumika (Angel Core),OVA
2947,8-Jul-00,27 min.,1,"Kids, Magic, Shoujo",5837,2452,G - All Ages,7.27,976,Unknown,Finished Airing,Toei Animation,Ojamajo Doremi Sharp Movie,Movie
2948,14-Jul-01,26 min.,1,"Kids, Magic, Shoujo",5775,2266,G - All Ages,7.32,972,Unknown,Finished Airing,Toei Animation,Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,Movie
2950,16-Dec-06,1 hr. 27 min.,1,"Kids, Slice of Life",2907,2921,G - All Ages,7.14,6813,Game,Finished Airing,OLM,Doubutsu no Mori,Movie
2951,1-Sep-05,32 min.,1,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen",1762,395,PG-13 - Teens 13 or older,8.13,18177,Manga,Finished Airing,Sunrise,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Special
2952,16-Apr-09,2 hr. 6 min.,1,"Action, Fantasy, Super Power",827,374,PG-13 - Teens 13 or older,8.14,53544,Game,Finished Airing,Square Enix,Final Fantasy VII: Advent Children Complete,OVA
2953,2-Jul-03,2 min.,1,"Music, Slice of Life",3330,4471,G - All Ages,6.73,6109,Unknown,Finished Airing,"None found, add some",Egao,Mu
2954,"Dec 29, 2006 to Jul 25, 2007",2 min. per ep.,5,Comedy,4222,1642,PG - Children,7.48,2625,Light novel,Finished Airing,Studio Deen,Maria-sama ga Miteru 3rd Specials,Special
2955,"Jun 25, 2004 to Sep 24, 2004",26 min. per ep.,2,Hentai,4206,/A,Rx - Hentai,6.53,2630,Original,Finished Airing,AT-2,Hana no Joshi Announcer: Newscaster Etsuko (Foxy Nudes),OVA
2956,"Feb 27, 2004 to Aug 27, 2004",30 min. per ep.,2,Hentai,7725,/A,Rx - Hentai,5.83,305,Manga,Finished Airing,"None found, add some",Shin-ban Megami Tantei Vinus File (The Venus Files),OVA
2957,"Dec 8, 2006 to Mar 9, 2007",30 min. per ep.,2,Hentai,6286,/A,Rx - Hentai,5.93,671,Original,Finished Airing,"None found, add some",Okusama wa Mahoutsukai (Enspelled),OVA
2958,"Mar 25, 2004 to Aug 25, 2004",26 min. per ep.,2,Hentai,5197,/A,Rx - Hentai,6.11,1228,Visual novel,Finished Airing,"None found, add some",Hitozuma Cosplay Kissa (Cosplay Cafe),OVA
2959,"Jul 8, 1994 to Sep 9, 1994",30 min. per ep.,2,"Hentai, Yuri",7021,/A,Rx - Hentai,5.73,485,Unknown,Finished Airing,"None found, add some",Utsukushiki Sei no Dendoushi Reirei (Rei Rei),OVA
2960,"Feb 25, 2006 to Sep 25, 2006",30 min. per ep.,2,Hentai,4964,/A,Rx - Hentai,6.65,1520,Manga,Finished Airing,"None found, add some",Kininaru Roommate (The Roommate),OVA
2961,6-Mar-99,20 min.,1,"Action, Fantasy, Kids, Sci-Fi",1017,1263,PG - Children,7.61,43384,Original,Finished Airing,Toei Animation,Digimon Adventure Movie (Digimon: The Movie),Movie
2962,8-Jul-00,32 min. per ep.,2,"Adventure, Fantasy, Kids, Sci-Fi",1863,2634,PG - Children,7.22,16896,Original,Finished Airing,Toei Animation,Digimon Adventure 02 Movies (Digimon: The Movie),Movie
2963,"Oct 8, 2007 to Dec 31, 2007",24 min. per ep.,13,"Slice of Life, Comedy, School",576,864,PG-13 - Teens 13 or older,7.8,51378,Manga,Finished Airing,Daume,Minami-ke,TV
2964,"Oct 3, 2007 to Dec 26, 2007",26 min. per ep.,13,"Sci-Fi, Drama, Shoujo Ai",2252,3919,PG-13 - Teens 13 or older,6.86,8701,Manga,Finished Airing,Gonzo,Blue Drop: Tenshi-tachi no Gikyoku (Blue Drop),TV
2965,"Oct 3, 2007 to Mar 26, 2008",23 min. per ep.,25,"Mystery, Sci-Fi",3819,3759,PG-13 - Teens 13 or older,6.91,1443,Manga,Finished Airing,Studio Deen,Suteki Tantei Labyrinth (Fantastic Detective Labyrinth),TV
2966,"Jan 9, 2008 to Mar 26, 2008",24 min. per ep.,13,"Adventure, Fantasy, Historical, Romance",92,187,PG-13 - Teens 13 or older,8.36,197215,Light novel,Finished Airing,Imagin,Ookami to Koushinryou (Spice and Wolf),TV
2967,"Aug 25, 2007 to Nov 10, 2007",5 min. per ep.,12,"Comedy, Ecchi, Mystery, School, Supernatural",4979,8026,PG-13 - Teens 13 or older,5.21,1209,Visual novel,Finished Airing,Zexcs,Saishuu Shiken Kujira,ONA
2969,20-Oct-07,1 hr. 44 min.,1,"Action, Mecha, Military, Sci-Fi",1833,1704,PG-13 - Teens 13 or older,7.46,17785,Unknown,Finished Airing,Digital Frontier,Appleseed Saga Ex Machina (Appleseed: Ex Machina),Movie
2970,"Oct 3, 2007 to Dec 26, 2007",25 min. per ep.,13,"Adventure, Fantasy, Magic, Shounen",1887,4224,PG-13 - Teens 13 or older,6.79,11796,Game,Finished Airing,"None found, add some",Night Wizard,TV
2971,"Oct 26, 2007 to Mar 28, 2008",25 min. per ep.,5,"Adventure, Comedy, Demons, Fantasy",2630,1321,PG-13 - Teens 13 or older,7.59,7275,Light novel,Finished Airing,Studio Deen,Kyou kara Maou! R,OVA
2972,22-Jul-87,1 hr. 26 min.,1,"Adventure, Military, Demons, Mystery",7437,8378,PG-13 - Teens 13 or older,4.7,425,Unknown,Finished Airing,"None found, add some",Kindan no Mokushiroku: Crystal Triangle (Crystal Triangle),OVA
2973,16-Dec-85,50 min.,1,"Fantasy, Sci-Fi",5814,3592,PG-13 - Teens 13 or older,6.96,1152,Manga,Finished Airing,Studio Pierrot,Fire Tripper,OVA
2974,5-Mar-86,47 min.,1,"Space, Mecha, Drama, Sci-Fi",7455,8200,PG-13 - Teens 13 or older,5.02,454,Unknown,Finished Airing,"None found, add some",The Humanoid: Ai no Wakusei Lezeria (The Humanoid),OVA
2977,"Jul 21, 1992 to Oct 21, 1993",35 min. per ep.,3,"Fantasy, Hentai, Demons, Horror",6996,/A,Rx - Hentai,5.44,450,Unknown,Finished Airing,"None found, add some",Youjuu Sensen Adventure Kid (Adventure Kid),OVA
2978,"Apr 9, 2004 to Sep 10, 2004",24 min. per ep.,13,"Action, Adventure, Mecha, Sci-Fi, Demons, Horror, Shounen",4308,1738,R - 17+ (violence & profanity),7.46,2223,Original,Finished Airing,Brain's Base,Shin Getter Robo (New Getter Robo),OVA
2979,"Mar 15, 1996 to Jul 26, 1996",30 min. per ep.,2,Hentai,6556,/A,Rx - Hentai,5.46,622,Unknown,Finished Airing,"None found, add some",Akiko,OVA
2980,"Jan 8, 1995 to Dec 24, 1995",24 min. per ep.,50,"Action, Adventure, Fantasy, Magic, Mecha",8240,4481,PG-13 - Teens 13 or older,6.73,137,Unknown,Finished Airing,Toei Animation,Kuusou Kagaku Sekai Gulliver Boy (Fantascience World Gulliver Boy),TV
2981,2-May-92,47 min.,1,"Drama, Historical, Horror",3277,6303,R+ - Mild Nudity,6.23,4442,Manga,Finished Airing,"None found, add some",Chika Gentou Gekiga: Shoujo Tsubaki (Midori),Movie
2982,"Jul 25, 2003 to Oct 31, 2003",30 min. per ep.,2,"Hentai, School",4806,/A,Rx - Hentai,6.66,1512,Visual novel,Finished Airing,AT-2,Yuuwaku (Temptation),OVA
2983,25-Mar-87,45 min.,1,"Adventure, Mystery, Horror, Demons, Psychological, Supernatural, Drama, Fantasy, School",5275,7841,R - 17+ (violence & profanity),5.38,1520,Light novel,Finished Airing,Animate Film,Digital Devil Story: Megami Tensei,OVA
2985,"Oct 3, 2007 to Mar 26, 2008",23 min. per ep.,25,"Mystery, Comedy, Demons, Supernatural, Shounen",1379,991,R - 17+ (violence & profanity),7.74,19019,Manga,Finished Airing,Madhouse,Majin Tantei Nougami Neuro (Neuro: Supernatural Detective),TV
2986,"Oct 2, 2007 to Apr 1, 2008",24 min. per ep.,26,"Comedy, School, Seinen, Sports",1029,1832,PG-13 - Teens 13 or older,7.43,30533,Manga,Finished Airing,AIC A.S.T.A.,Bamboo Blade,TV
2987,"Oct 21, 1983 to Sep 21, 1984",25 min. per ep.,46,"Action, Adventure, Mecha, Sci-Fi",6631,2286,G - All Ages,7.31,295,Unknown,Finished Airing,Sunrise,Ginga Hyouryuu Vifam,TV
2988,"Aug 25, 2003 to Feb 25, 2005",30 min. per ep.,5,"Action, Hentai, Horror, Supernatural",4281,/A,Rx - Hentai,6.67,1887,Visual novel,Finished Airing,"None found, add some",Mahou Shoujo Ai,OVA
2989,"Apr 13, 2007 to Jul 13, 2007",30 min. per ep.,2,"Hentai, School",5382,/A,Rx - Hentai,6.11,1078,Visual novel,Finished Airing,"None found, add some",Classmate no Okaasan (My Classmate&#039;s Mother),OVA
2990,21-Dec-01,19 min.,1,Hentai,7975,/A,Rx - Hentai,4.58,250,Original,Finished Airing,"None found, add some",Mini Skirt Gakuen (Girl&#039;s Locker Room Lust),OVA
2991,16-Mar-01,23 min.,1,Hentai,6246,/A,Rx - Hentai,5.35,766,Unknown,Finished Airing,"None found, add some",Harumi-chan no Oita,OVA
