ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
26323,1991,23 min.,1,"Drama, Historical, Kids",12380,9461,G - All Ages,6,5,Unknown,Finished Airing,"None found, add some",Hitotsu no Hana,OVA
26325,2006,13 min.,1,"Drama, Kids",12570,10158,G - All Ages,7,4,Unknown,Finished Airing,"None found, add some",Minna Ichiban!,OVA
26327,1998,11 min.,1,"Drama, Kids",11809,9828,G - All Ages,5.5,6,Unknown,Finished Airing,"None found, add some",Kitsune to Budou,OVA
26329,2006 to ?,24 min.,1,"Kids, Drama",11971,9519,G - All Ages,6.67,3,Unknown,Finished Airing,"None found, add some",Ijimekko Ookami to Nana-chan,OVA
26331,2005,16 min.,1,"Comedy, Demons, Drama, Kids",12213,9588,G - All Ages,6.2,5,Unknown,Finished Airing,"None found, add some",Jigoku no Soubee,OVA
26333,2005,17 min.,1,"Drama, Kids",12330,9707,G - All Ages,6,5,Unknown,Finished Airing,"None found, add some",Kaneko Misuzu: Yasashisa no Fuukei,OVA
26335,1999,12 min.,1,"Drama, Kids",11105,10255,G - All Ages,6.44,16,Unknown,Finished Airing,"None found, add some",Nanatsu no Hoshi,OVA
26337,2010,20 min. per ep.,6,"Drama, Fantasy, Historical, Kids, School",12618,10159,G - All Ages,8,4,Unknown,Finished Airing,"None found, add some",Minna no Doutoku,OVA
26339,2000,20 min.,1,"Kids, Drama",12575,11216,G - All Ages,5.8,5,Unknown,Finished Airing,"None found, add some",Tobidashicha dame!,OVA
26341,2000,15 min.,1,"Kids, Drama",12186,9313,G - All Ages,5.75,8,Original,Finished Airing,"None found, add some",Hanamaru Koutsuu Anzen,OVA
26345,1993,30 min.,1,"Drama, Fantasy, Kids",12305,9865,G - All Ages,5.6,5,Unknown,Finished Airing,"None found, add some",Kogitsune no Okurimono,OVA
26347,30-Mar-08,4 min. per ep.,4,Slice of Life,10847,9102,G - All Ages,4.3,44,Unknown,Finished Airing,"None found, add some",From Osaka with Cheer!,ONA
26349,"Oct 3, 2014 to Dec 26, 2014",3 min. per ep.,13,"Slice of Life, Comedy, Seinen",428,1484,PG-13 - Teens 13 or older,7.53,83923,4-koma manga,Finished Airing,Seven,Danna ga Nani wo Itteiru ka Wakaranai Ken,TV
