ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,Source,Status,Studios,Title,Type
2730,"Feb 23, 1990 to Apr 27, 1990",28 min. per ep.,2,"Comedy, Ecchi, Harem, Romance, Seinen",4707,7959,R+ - Mild Nudity,5.21,Manga,Finished Airing,J.C.Staff,1+2=Paradise,OVA
2731,"Feb 25, 1999 to Jul 25, 1999",30 min. per ep.,6,"Action, Mecha, Parody",8998,7213,None,5.81,Unknown,Finished Airing,Sunrise,Shishunki Bishoujo Gattai Robo Z-MIND,OVA
2732,"Apr 8, 2002 to Dec 4, 2002",35 min. per ep.,53,"Comedy, Drama",8669,4346,G - All Ages,6.76,Original,Finished Airing,"None found, add some",Baby Baachan (Baby Grandma),TV
2733,"Mar 30, 2002 to Apr 13, 2002",10 min. per ep.,3,Parody,6071,4786,PG - Children,6.66,Original,Finished Airing,Production I.G,Mobile Police Patlabor: MiniPato (Mobile Police Patlabor Minimum),OVA
2734,25-Jul-03,56 min.,1,"Action, Mecha",5677,2187,R - 17+ (violence & profanity),7.34,Manga,Finished Airing,Brain's Base,Mazinkaiser: Shitou! Ankoku Dai Shogun,OVA
2735,"Apr 5, 2003 to Mar 27, 2004",25 min. per ep.,52,"Action, Mecha, Sci-Fi, Shounen",10075,10158,PG - Children,5.32,Unknown,Finished Airing,"Sunrise,       Dongwoo A&E",Mugen Senki Portriss,TV
2736,"Oct 3, 1995 to Mar 31, 1997",25 min. per ep.,74,"Comedy, Fantasy, Sci-Fi",6849,2297,G - All Ages,7.31,Unknown,Finished Airing,OLM,Mojakou,TV
2737,"Apr 26, 1995 to Jun 1, 1995",28 min. per ep.,2,"Action, Super Power, Drama",9006,7798,R+ - Mild Nudity,5.37,Manga,Finished Airing,OLM,Kouryuu no Mimi: Mina no Shou,OVA
2738,"Apr 9, 2003 to Oct 1, 2003",25 min. per ep.,26,"Kids, Fantasy",9298,6023,PG - Children,6.32,Unknown,Finished Airing,OLM,Kasumin 3rd Season,TV
2739,"Feb 5, 1999 to Sep 22, 1999",27 min. per ep.,3,"Drama, Fantasy, Super Power",8967,6020,None,6.32,Unknown,Finished Airing,OLM,Highschool Aurabuster: Hikari no Mezame,OVA
2740,"Jan 11, 2004 to Jun 27, 2004",23 min. per ep.,25,"Action, Sports, Drama, Shounen",8086,5290,PG-13 - Teens 13 or older,6.53,Manga,Finished Airing,OLM,Monkey Turn,TV
2741,"Jul 4, 2004 to Dec 19, 2004",24 min. per ep.,25,"Action, Sports, Drama, Shounen",9414,4414,PG-13 - Teens 13 or older,6.75,Manga,Finished Airing,OLM,Monkey Turn V,TV
2742,"Oct 5, 2003 to Mar 28, 2004",20 min. per ep.,26,"Comedy, Kids, Sci-Fi",9859,10394,None,5.68,Unknown,Finished Airing,OLM,Omoikkiri Kagaku Adventure Sou Nanda!,TV
2743,22-Jun-07,4 min. per ep.,4,"Comedy, Parody",4016,1233,PG-13 - Teens 13 or older,7.63,Unknown,Finished Airing,Sunrise,Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou,Special
2744,"Jul 7, 2007 to Sep 22, 2007",24 min. per ep.,12,"Comedy, School, Seinen",2958,1978,PG-13 - Teens 13 or older,7.4,4-koma manga,Finished Airing,J.C.Staff,Potemayo,TV
2745,"Jun 12, 1998 to May 14, 1999",30 min. per ep.,3,"Action, Supernatural, Comedy, School, Demons, Horror, Shounen",6545,2362,PG-13 - Teens 13 or older,7.29,Unknown,Finished Airing,"None found, add some",Jigoku Sensei Nube OVA (Hell Teacher Nube),OVA
2746,18-Aug-07,1 hr. 50 min.,1,"Action, Military, Sci-Fi",2630,3386,PG-13 - Teens 13 or older,7.03,Original,Finished Airing,Oxybot,Vexille: 2077 Nihon Sakoku (Vexille),Movie
2747,"Jan 1, 1963 to Dec 31, 1966",26 min. per ep.,193,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",4012,2430,PG - Children,7.28,Manga,Finished Airing,Mushi Production,Tetsuwan Atom (Astro Boy),TV
2748,"Oct 4, 1981 to Dec 26, 1982",25 min. per ep.,65,"Ecchi, Sports, Comedy, Shounen",5347,2281,PG-13 - Teens 13 or older,7.31,Unknown,Finished Airing,Tatsunoko Production,Dash! Kappei,TV
2749,"Oct 14, 1993 to Sep 22, 1994",25 min. per ep.,40,"Adventure, Comedy",8584,3477,G - All Ages,7,Original,Finished Airing,Nippon Animation,Heisei Inu Monogatari Bow (Heisei Period Dog Tale Bow),TV
2750,20-Aug-94,22 min.,1,"Adventure, Comedy",10386,9273,None,6.58,Unknown,Finished Airing,Nippon Animation,Heisei Inu Monogatari Bow Movie (Heisei Dog Stories: Bow),Movie
