ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,Source,Status,Studios,Title,Type
1,"Apr 3, 1998 to Apr 24, 1999",24 min. per ep.,26,"Action, Sci-Fi, Adventure, Space, Comedy, Drama",33,25,R - 17+ (violence & profanity),8.81,Original,Finished Airing,Sunrise,Cowboy Bebop,TV
5,1-Sep-01,1 hr. 54 min.,1,"Action, Space, Drama, Mystery, Sci-Fi",395,151,R - 17+ (violence & profanity),8.4,Original,Finished Airing,Bones,Cowboy Bebop: Tengoku no Tobira (Cowboy Bebop: The Movie),Movie
6,"Apr 1, 1998 to Sep 30, 1998",24 min. per ep.,26,"Action, Comedy, Sci-Fi",126,219,PG-13 - Teens 13 or older,8.32,Manga,Finished Airing,Madhouse,Trigun,TV
7,"Jul 2, 2002 to Dec 24, 2002",25 min. per ep.,26,"Action, Drama, Magic, Mystery, Police, Supernatural",965,2167,PG-13 - Teens 13 or older,7.35,Original,Finished Airing,Sunrise,Witch Hunter Robin,TV
8,"Sep 30, 2004 to Sep 29, 2005",23 min. per ep.,52,"Adventure, Fantasy, Shounen, Supernatural",3164,3252,PG - Children,7.05,Manga,Finished Airing,Toei Animation,Beet the Vandel Buster,TV
15,"Apr 6, 2005 to Mar 19, 2008",23 min. per ep.,145,"Action, Sports, Comedy, Shounen",742,461,PG-13 - Teens 13 or older,8.06,Manga,Finished Airing,Studio Gallop,Eyeshield 21,TV
16,"Apr 15, 2005 to Sep 27, 2005",23 min. per ep.,24,"Comedy, Drama, Josei, Romance, Slice of Life",438,352,PG-13 - Teens 13 or older,8.16,Manga,Finished Airing,J.C.Staff,Hachimitsu to Clover (Honey and Clover),TV
17,"Sep 11, 2002 to Sep 10, 2003",23 min. per ep.,52,"Slice of Life, Comedy, Sports, Shounen",2723,1047,PG-13 - Teens 13 or older,7.71,Manga,Finished Airing,Nippon Animation,Hungry Heart: Wild Striker,TV
18,"Apr 17, 2004 to Feb 18, 2006",27 min. per ep.,24,"Action, Cars, Sports, Drama, Seinen",1305,268,PG-13 - Teens 13 or older,8.24,Manga,Finished Airing,A.C.G.T.,Initial D Fourth Stage,TV
19,"Apr 7, 2004 to Sep 28, 2005",24 min. per ep.,74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",149,44,R+ - Mild Nudity,8.7,Manga,Finished Airing,Madhouse,Monster,TV
20,"Oct 3, 2002 to Feb 8, 2007",23 min. per ep.,220,"Action, Comedy, Super Power, Martial Arts, Shounen",8,808,PG-13 - Teens 13 or older,7.83,Manga,Finished Airing,Studio Pierrot,Naruto,TV
21,"Oct 20, 1999 to ?",24 min.,Unknown,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",32,77,PG-13 - Teens 13 or older,8.57,Manga,Currently Airing,Toei Animation,One Piece,TV
22,"Oct 10, 2001 to Mar 23, 2005",22 min. per ep.,178,"Action, Comedy, School, Shounen, Sports",710,504,PG-13 - Teens 13 or older,8.03,Manga,Finished Airing,Trans Arts,Prince of Tennis (The Prince of Tennis),TV
23,"Oct 6, 2004 to Dec 15, 2004",25 min. per ep.,12,"Action, Shounen, Sports",5684,4789,PG - Children,6.66,Unknown,Finished Airing,Toei Animation,Ring ni Kakero 1,TV
24,"Oct 5, 2004 to Mar 29, 2005",23 min. per ep.,26,"Comedy, Romance, School, Shounen",289,480,PG-13 - Teens 13 or older,8.05,Manga,Finished Airing,Studio Comet,School Rumble,TV
25,"Oct 6, 2004 to Mar 30, 2005",24 min. per ep.,24,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",938,1473,R - 17+ (violence & profanity),7.54,Manga,Finished Airing,Gonzo,Sunabouzu (Desert Punk),TV
26,"Apr 17, 2003 to Sep 25, 2003",23 min. per ep.,22,"Action, Sci-Fi, Psychological, Drama",619,912,R+ - Mild Nudity,7.78,Original,Finished Airing,Madhouse,Texhnolyze,TV
27,"Apr 29, 2005 to Oct 28, 2005",24 min. per ep.,24,"Action, Supernatural, Vampire",515,1880,R - 17+ (violence & profanity),7.43,Light novel,Finished Airing,Gonzo,Trinity Blood,TV
28,"Oct 12, 2004 to Mar 14, 2006",24 min. per ep.,69,"Comedy, Shounen",1165,492,PG-13 - Teens 13 or older,8.04,Manga,Finished Airing,Sunrise,Yakitate!! Japan,TV
29,"Oct 8, 2004 to Apr 1, 2005",24 min. per ep.,26,"Action, Military, Sci-Fi, Historical, Drama, Seinen",3240,1452,PG-13 - Teens 13 or older,7.55,Manga,Finished Airing,Studio Deen,Zipang,TV
30,"Oct 4, 1995 to Mar 27, 1996",24 min. per ep.,26,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",40,217,PG-13 - Teens 13 or older,8.32,Original,Finished Airing,"Gainax,       Tatsunoko Production",Neon Genesis Evangelion,TV
31,15-Mar-97,1 hr. 41 min.,1,"Drama, Mecha, Psychological, Sci-Fi",599,1582,R - 17+ (violence & profanity),7.5,Original,Finished Airing,"Gainax,       Production I.G",Neon Genesis Evangelion: Death &amp; Rebirth,Movie
32,19-Jul-97,1 hr. 27 min.,1,"Sci-Fi, Dementia, Psychological, Drama, Mecha",202,131,R+ - Mild Nudity,8.45,Original,Finished Airing,"Gainax,       Production I.G",Neon Genesis Evangelion: The End of Evangelion,Movie
33,"Oct 8, 1997 to Apr 1, 1998",25 min. per ep.,25,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",177,144,R+ - Mild Nudity,8.42,Manga,Finished Airing,OLM,Berserk,TV
43,18-Nov-95,1 hr. 22 min.,1,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen",166,199,R+ - Mild Nudity,8.34,Manga,Finished Airing,Production I.G,Ghost in the Shell,Movie
44,"Feb 20, 1999 to Sep 22, 1999",30 min. per ep.,4,"Action, Historical, Drama, Romance, Martial Arts, Samurai",429,23,R - 17+ (violence & profanity),8.82,Manga,Finished Airing,Studio Deen,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA
45,"Jan 10, 1996 to Sep 8, 1998",25 min. per ep.,94,"Action, Adventure, Comedy, Historical, Romance, Samurai",209,146,PG-13 - Teens 13 or older,8.42,Manga,Finished Airing,"Studio Gallop,       Studio Deen",Rurouni Kenshin: Meiji Kenkaku Romantan (Rurouni Kenshin),TV
46,20-Dec-97,1 hr. 31 min.,1,"Samurai, Historical, Drama, Shounen",1642,1210,R - 17+ (violence & profanity),7.64,Manga,Finished Airing,Studio Gallop,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie
47,16-Jul-88,2 hr. 4 min.,1,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural",199,359,R+ - Mild Nudity,8.15,Manga,Finished Airing,Tokyo Movie Shinsha,Akira,Movie
48,"Apr 4, 2002 to Sep 26, 2002",24 min. per ep.,26,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",531,3003,PG-13 - Teens 13 or older,7.12,Original,Finished Airing,Bee Train,.hack//Sign,TV
49,"Feb 21, 1993 to May 17, 1994",30 min. per ep.,5,"Comedy, Magic, Romance, Seinen, Supernatural",1597,1957,PG-13 - Teens 13 or older,7.4,Manga,Finished Airing,AIC,Aa! Megami-sama! (Oh! My Goddess),OVA
50,"Jan 7, 2005 to Jul 8, 2005",24 min. per ep.,24,"Comedy, Supernatural, Magic, Romance, Seinen",649,1800,PG-13 - Teens 13 or older,7.44,Manga,Finished Airing,AIC,Aa! Megami-sama! (TV) (Ah! My Goddess),TV
51,"May 25, 2000 to Aug 25, 2000",30 min. per ep.,3,"Action, Drama, Romance, Shoujo, Supernatural",1564,5616,R+ - Mild Nudity,6.44,Manga,Finished Airing,Hal Film Maker,Tenshi Kinryouku (Angel Sanctuary),OVA
52,"Apr 1, 2001 to Sep 23, 2001",24 min. per ep.,26,"Sci-Fi, Comedy, Sports, Drama, Shounen",1455,2260,PG-13 - Teens 13 or older,7.32,Manga,Finished Airing,Bones,Kidou Tenshi Angelic Layer (Battle Doll Angelic Layer),TV
53,"Apr 11, 2002 to Sep 26, 2002",23 min. per ep.,24,"Comedy, Drama, Harem, Romance, Slice of Life",947,2586,PG-13 - Teens 13 or older,7.23,Manga,Finished Airing,J.C.Staff,Ai Yori Aoshi,TV
54,17-Apr-04,1 hr. 45 min.,1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",1221,2658,R - 17+ (violence & profanity),7.21,Manga,Finished Airing,Digital Frontier,Appleseed (Movie),Movie
55,"Apr 5, 1999 to Sep 11, 1999",22 min. per ep.,26,"Action, Adventure, Fantasy, Horror, Sci-Fi",3088,4920,R - 17+ (violence & profanity),6.62,Game,Finished Airing,Bee Train,Arc the Lad,TV
56,"Oct 2, 2003 to Dec 25, 2003",24 min. per ep.,13,"Adventure, Fantasy, Sci-Fi, Shounen",2885,6839,R - 17+ (violence & profanity),6.01,Original,Finished Airing,"Bee Train,       Xebec",Avenger,TV
57,"Oct 7, 2004 to Mar 31, 2005",25 min. per ep.,26,"Comedy, Drama, Music, Shounen, Slice of Life",367,159,R - 17+ (violence & profanity),8.39,Manga,Finished Airing,Madhouse,Beck (Beck: Mongolian Chop Squad),TV
58,"Oct 8, 1999 to Mar 31, 2000",23 min. per ep.,26,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",1397,3006,R+ - Mild Nudity,7.12,Original,Finished Airing,AIC,Blue Gender,TV
59,"Apr 3, 2002 to Sep 25, 2002",24 min. per ep.,26,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",146,1416,PG-13 - Teens 13 or older,7.55,Manga,Finished Airing,Madhouse,Chobits,TV
60,"Nov 25, 2003 to Jun 10, 2004",23 min. per ep.,24,"Action, Historical, Demons, Supernatural, Romance",402,875,R - 17+ (violence & profanity),7.79,Manga,Finished Airing,Gonzo,Chrno Crusade (Chrono Crusade),TV
61,"Apr 3, 2003 to Sep 25, 2003",23 min. per ep.,26,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",465,2215,PG-13 - Teens 13 or older,7.33,Manga,Finished Airing,Xebec,D.N.Angel,TV
62,"Jul 5, 2003 to Dec 27, 2003",24 min. per ep.,26,"Harem, Drama, Magic, Romance",1212,3745,PG-13 - Teens 13 or older,6.91,Visual novel,Finished Airing,"feel.,       Zexcs",D.C.: Da Capo (D.C.~Da Capo~),TV
63,"Jul 11, 2004 to Sep 26, 2004",23 min. per ep.,12,"Ecchi, Romance, Comedy, Harem, Sci-Fi",687,4275,R+ - Mild Nudity,6.78,Manga,Finished Airing,Daume,DearS,TV
64,"Oct 8, 2004 to Dec 24, 2004",24 min. per ep.,12,"Action, Comedy, Drama, Magic, Seinen",451,1410,PG-13 - Teens 13 or older,7.56,Manga,Finished Airing,Nomad,Rozen Maiden,TV
65,"Oct 21, 2005 to Jan 27, 2006",24 min. per ep.,12,"Action, Comedy, Drama, Magic, Seinen",883,956,PG-13 - Teens 13 or older,7.76,Manga,Finished Airing,Nomad,Rozen Maiden: Tr\xc3\xa4umend,TV
66,"Apr 9, 2002 to Oct 1, 2002",24 min. per ep.,26,"Slice of Life, Comedy, School",311,458,PG-13 - Teens 13 or older,8.06,4-koma manga,Finished Airing,J.C.Staff,Azumanga Daioh (Azumanga Daioh: The Animation),TV
67,"Apr 13, 2005 to Sep 21, 2005",24 min. per ep.,24,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",618,1130,R - 17+ (violence & profanity),7.67,Manga,Finished Airing,Gonzo,Basilisk: Kouga Ninpou Chou (Basilisk),TV
68,"Oct 7, 2005 to Mar 31, 2006",24 min. per ep.,23,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",364,1538,PG-13 - Teens 13 or older,7.51,Manga,Finished Airing,Gonzo,Black Cat,TV
69,"Oct 4, 2005 to Mar 28, 2006",24 min. per ep.,25,"Action, Fantasy, Military, Sci-Fi",3646,5496,PG-13 - Teens 13 or older,6.47,Unknown,Finished Airing,Sunrise,Cluster Edge,TV
71,"Jan 8, 2002 to Jun 18, 2002",24 min. per ep.,24,"Action, Military, Sci-Fi, Comedy, Mecha",153,880,R - 17+ (violence & profanity),7.79,Light novel,Finished Airing,Gonzo,Full Metal Panic!,TV
72,"Aug 26, 2003 to Oct 18, 2003",24 min. per ep.,12,"Action, Comedy, School",308,319,PG-13 - Teens 13 or older,8.19,Light novel,Finished Airing,Kyoto Animation,Full Metal Panic? Fumoffu,TV
73,"Jul 14, 2005 to Oct 20, 2005",24 min. per ep.,13,"Action, Mecha, Military",355,473,R+ - Mild Nudity,8.05,Light novel,Finished Airing,Kyoto Animation,Full Metal Panic! The Second Raid,TV
74,"Oct 30, 2004 to May 14, 2005",25 min. per ep.,26,"Comedy, Magic, School, Shoujo",1146,901,G - All Ages,7.78,Manga,Finished Airing,Group TAC,Gakuen Alice,TV
75,"Jul 5, 2004 to Dec 27, 2004",24 min. per ep.,25,"Action, Drama, Mecha, Military, Sci-Fi",1816,2100,PG-13 - Teens 13 or older,7.37,Original,Finished Airing,Xebec,Soukyuu no Fafner: Dead Aggressor (Fafner of the Blue Sky),TV
76,"Oct 3, 2004 to Dec 26, 2004",25 min. per ep.,13,"Action, Comedy, Drama, Magic, Super Power",995,1549,PG-13 - Teens 13 or older,7.51,Original,Finished Airing,Seven Arcs,Mahou Shoujo Lyrical Nanoha (Magical Girl Lyrical Nanoha),TV
77,"Oct 2, 2005 to Dec 25, 2005",25 min. per ep.,13,"Action, Comedy, Drama, Magic, Super Power",1401,435,PG-13 - Teens 13 or older,8.09,Original,Finished Airing,Seven Arcs,Mahou Shoujo Lyrical Nanoha A&#039;s (Magical Girl Lyrical Nanoha A&#039;s),TV
79,"Jul 8, 2005 to Jan 6, 2006",23 min. per ep.,24,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",340,2426,R+ - Mild Nudity,7.28,Visual novel,Finished Airing,"Xebec,       Asread",Shuffle!,TV
80,"Apr 7, 1979 to Jan 26, 1980",25 min. per ep.,43,"Action, Military, Sci-Fi, Space, Mecha",1142,718,PG-13 - Teens 13 or older,7.88,Original,Finished Airing,Sunrise,Mobile Suit Gundam,TV
81,"Jan 25, 1996 to Jul 25, 1999",24 min. per ep.,12,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha",1571,404,PG-13 - Teens 13 or older,8.12,Original,Finished Airing,Sunrise,Mobile Suit Gundam: The 08th MS Team,OVA
82,"Mar 25, 1989 to Aug 25, 1989",27 min. per ep.,6,"Military, Sci-Fi, Adventure, Space, Drama, Mecha",1994,768,PG-13 - Teens 13 or older,7.85,Original,Finished Airing,Sunrise,Mobile Suit Gundam 0080: War in the Pocket,OVA
83,1-Aug-98,52 min.,1,"Military, Sci-Fi, Drama, Romance, Mecha",3415,3630,PG-13 - Teens 13 or older,6.95,Original,Finished Airing,Sunrise,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,Movie
84,"May 23, 1991 to Sep 24, 1992",30 min. per ep.,13,"Military, Sci-Fi, Adventure, Space, Drama, Mecha",2174,1780,PG-13 - Teens 13 or older,7.45,Original,Finished Airing,Sunrise,Mobile Suit Gundam 0083: Stardust Memory,OVA
85,"Mar 2, 1985 to Feb 22, 1986",24 min. per ep.,50,"Military, Sci-Fi, Space, Drama, Mecha",1736,514,PG-13 - Teens 13 or older,8.02,Original,Finished Airing,Sunrise,Mobile Suit Zeta Gundam,TV
86,"Mar 8, 1986 to Jan 31, 1987",24 min. per ep.,47,"Military, Sci-Fi, Space, Comedy, Drama, Mecha",2353,4236,PG-13 - Teens 13 or older,6.79,Original,Finished Airing,Sunrise,Mobile Suit Gundam ZZ,TV
87,12-Mar-88,1 hr. 59 min.,1,"Military, Sci-Fi, Space, Drama, Mecha",2238,866,PG-13 - Teens 13 or older,7.8,Novel,Finished Airing,"Sunrise,       Studio Hibari",Mobile Suit Gundam: Char&#039;s Counterattack,Movie
88,16-Mar-91,2 hr.,1,"Military, Sci-Fi, Space, Drama, Mecha",2711,3911,PG-13 - Teens 13 or older,6.87,Unknown,Finished Airing,Sunrise,Mobile Suit Gundam F91,Movie
89,"Apr 2, 1993 to Mar 25, 1994",24 min. per ep.,51,"Military, Sci-Fi, Space, Drama, Mecha",2793,3631,PG-13 - Teens 13 or older,6.95,Original,Finished Airing,"Sunrise,       Studio Deen",Mobile Suit Victory Gundam (Mobile Suit V Gundam),TV
90,"Apr 7, 1995 to Mar 29, 1996",24 min. per ep.,49,"Action, Military, Sci-Fi, Space, Drama, Mecha",740,750,PG-13 - Teens 13 or older,7.86,Original,Finished Airing,Sunrise,Mobile Suit Gundam Wing,TV
91,"Jan 25, 1997 to Jul 25, 1997",30 min. per ep.,3,"Action, Drama, Mecha, Military, Sci-Fi, Space",1787,751,PG-13 - Teens 13 or older,7.86,Original,Finished Airing,Sunrise,Mobile Suit Gundam Wing: Endless Waltz,OVA
92,"Apr 5, 1996 to Dec 28, 1996",24 min. per ep.,39,"Sci-Fi, Adventure, Space, Drama, Mecha",2264,2026,PG-13 - Teens 13 or older,7.38,Original,Finished Airing,Sunrise,After War Gundam X,TV
93,"Oct 5, 2002 to Sep 27, 2003",24 min. per ep.,50,"Action, Romance, Mecha, Military, Sci-Fi, Space, Drama",643,674,R - 17+ (violence & profanity),7.91,Original,Finished Airing,Sunrise,Mobile Suit Gundam Seed,TV
94,"Oct 9, 2004 to Oct 1, 2005",24 min. per ep.,50,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",954,2190,R - 17+ (violence & profanity),7.34,Original,Finished Airing,Sunrise,Mobile Suit Gundam Seed Destiny,TV
95,"Apr 9, 1999 to Apr 14, 2000",24 min. per ep.,50,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha",2168,961,PG-13 - Teens 13 or older,7.76,Unknown,Finished Airing,"Sunrise,       Nakamura Production",Turn A Gundam (\xe2\x88\x80 Gundam),TV
96,"Apr 1, 1994 to Mar 31, 1995",24 min. per ep.,49,"Sci-Fi, Adventure, Space, Comedy, Sports, Drama, Romance, Martial Arts, Mecha",1529,1255,PG-13 - Teens 13 or older,7.62,Original,Finished Airing,Sunrise,Mobile Fighter G Gundam,TV
97,"Apr 8, 2003 to Sep 30, 2003",24 min. per ep.,26,"Action, Sci-Fi, Adventure",580,637,PG-13 - Teens 13 or older,7.93,Original,Finished Airing,Gonzo,Last Exile,TV
98,"Sep 30, 2004 to Mar 31, 2005",23 min. per ep.,26,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",842,1347,PG-13 - Teens 13 or older,7.58,Original,Finished Airing,Sunrise,Mai-HiME (My-Hime),TV
99,"Oct 7, 2005 to Mar 31, 2006",24 min. per ep.,26,"Comedy, Drama, Fantasy, Magic",1543,2002,PG-13 - Teens 13 or older,7.39,Original,Finished Airing,Sunrise,Mai-Otome (My ZHiME),TV
100,"Apr 4, 2001 to Jun 27, 2001",23 min. per ep.,13,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",1513,2273,PG-13 - Teens 13 or older,7.32,Manga,Finished Airing,Hal Film Maker,Shin Shirayuki-hime Densetsu Pr\xc3\xa9tear,TV
101,"Jan 7, 2005 to Apr 1, 2005",24 min. per ep.,13,"Slice of Life, Supernatural, Drama, Romance",271,1708,PG-13 - Teens 13 or older,7.46,Visual novel,Finished Airing,Kyoto Animation,Air,TV
102,"Apr 3, 2004 to Oct 9, 2004",25 min. per ep.,26,"Comedy, Drama, Romance, Shoujo",980,1371,PG-13 - Teens 13 or older,7.57,Manga,Finished Airing,TMS Entertainment,Aishiteruze Baby\xe2\x98\x85\xe2\x98\x85,TV
103,"Jan 7, 1994 to Jun 30, 1995",24 min. per ep.,74,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",3505,1628,G - All Ages,7.48,Manga,Finished Airing,Studio Gallop,Akazukin Chacha (Red Riding Hood Chacha),TV
104,"Apr 20, 2000 to Sep 28, 2000",21 min. per ep.,24,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",1485,2105,R - 17+ (violence & profanity),7.36,Manga,Finished Airing,Studio Pierrot,"Ayashi no Ceres (Ceres, Celestial Legend)",TV
105,"Apr 11, 2000 to Jul 4, 2000",23 min. per ep.,13,"Slice of Life, Comedy, Romance, Shounen",2601,5120,PG-13 - Teens 13 or older,6.57,Manga,Finished Airing,Hal Film Maker,Boys Be...,TV
106,"Sep 8, 1996 to Aug 31, 1997",25 min. per ep.,51,"Drama, Romance, School, Shoujo",1774,714,PG-13 - Teens 13 or older,7.88,Manga,Finished Airing,Toei Animation,Hana yori Dango,TV
107,"May 15, 2002 to Aug 14, 2002",24 min. per ep.,13,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",2018,2239,PG-13 - Teens 13 or older,7.33,Manga,Finished Airing,Studio Deen,Ou Dorobou Jing (Jing: King of Bandits),TV
108,"Jan 21, 2004 to Apr 28, 2004",30 min. per ep.,3,"Adventure, Fantasy, Psychological, Comedy, Shounen",3348,1945,PG-13 - Teens 13 or older,7.41,Unknown,Finished Airing,Studio Deen,Ou Dorobou Jing in Seventh Heaven,OVA
109,"Apr 7, 2004 to Sep 15, 2004",23 min. per ep.,24,"Adventure, Comedy, Mecha, Sci-Fi",1242,3717,PG-13 - Teens 13 or older,6.92,Original,Finished Airing,Gonzo,Bakuretsu Tenshi (Burst Angel),TV
110,"Apr 27, 1997 to Sep 13, 1998",23 min. per ep.,52,"Action, Comedy, Drama, Shounen",3313,1087,PG-13 - Teens 13 or older,7.69,Manga,Finished Airing,Nippon Animation,Chuuka Ichiban!,TV
111,"Apr 9, 1999 to Oct 20, 2000",25 min. per ep.,52,"Sci-Fi, Adventure, Comedy, Magic",3520,3787,PG - Children,6.9,Original,Finished Airing,Nippon Animation,Corrector Yui,TV
112,"Jan 12, 2004 to Mar 1, 2004",14 min. per ep.,8,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",4002,8080,PG-13 - Teens 13 or older,5.08,Original,Finished Airing,"Imagin,       Studio Live",Chou Henshin Cosprayers (The Cosmopolitan Prayers),TV
113,"Apr 3, 2003 to Sep 25, 2003",23 min. per ep.,26,"Action, Romance, Sci-Fi, Space",2560,1669,PG-13 - Teens 13 or older,7.48,Original,Finished Airing,Xebec,Uchuu no Stellvia (Stellvia of the Universe),TV
114,"Oct 3, 2003 to Mar 26, 2004",12 min. per ep.,26,"Comedy, School, Shounen",910,515,PG-13 - Teens 13 or older,8.02,Manga,Finished Airing,Production I.G,Sakigake!! Cromartie Koukou (Cromartie High School),TV
115,"Jan 8, 1998 to Mar 26, 1998",25 min. per ep.,13,"Adventure, Comedy, Fantasy",3621,3655,PG-13 - Teens 13 or older,6.94,Original,Finished Airing,AIC,El Hazard: The Alternative World,TV
116,"Oct 6, 1995 to Mar 29, 1996",23 min. per ep.,26,"Adventure, Comedy, Romance, Fantasy",3212,3112,PG-13 - Teens 13 or older,7.09,Original,Finished Airing,AIC,El Hazard: The Wanderers (El-Hazard: The Wanderers),TV
117,"May 26, 1995 to Jan 25, 1996",34 min. per ep.,7,"Adventure, Comedy, Fantasy, Romance",3107,1847,PG-13 - Teens 13 or older,7.43,Original,Finished Airing,AIC,El Hazard: The Magnificent World,OVA
118,"Mar 21, 1997 to Oct 25, 1997",30 min. per ep.,4,"Adventure, Comedy, Fantasy",3945,3525,PG-13 - Teens 13 or older,6.98,Original,Finished Airing,AIC,El Hazard 2: The Magnificent World,OVA
119,"Oct 3, 2004 to Dec 26, 2004",14 min. per ep.,13,"Comedy, Drama, Romance, Slice of Life",1958,4681,PG-13 - Teens 13 or older,6.68,Visual novel,Finished Airing,Zexcs,Final Approach,TV
120,"Jul 5, 2001 to Dec 27, 2001",24 min. per ep.,26,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",172,879,PG-13 - Teens 13 or older,7.79,Manga,Finished Airing,Studio Deen,Fruits Basket,TV
121,"Oct 4, 2003 to Oct 2, 2004",24 min. per ep.,51,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",17,211,PG-13 - Teens 13 or older,8.32,Manga,Finished Airing,Bones,Fullmetal Alchemist,TV
122,"Apr 6, 2002 to Mar 29, 2003",24 min. per ep.,52,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",1035,447,PG-13 - Teens 13 or older,8.07,Manga,Finished Airing,Studio Deen,Full Moon wo Sagashite (Searching for the Full Moon),TV
123,"Apr 6, 1995 to Mar 28, 1996",23 min. per ep.,52,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",1000,944,PG-13 - Teens 13 or older,7.76,Manga,Finished Airing,Studio Pierrot,Fushigi Yuugi (Mysterious Play),TV
124,"Dec 21, 2001 to Jun 25, 2002",30 min. per ep.,4,"Adventure, Fantasy, Romance, Drama, Shoujo",2937,3502,PG-13 - Teens 13 or older,6.99,Manga,Finished Airing,Studio Pierrot,Fushigi Yuugi: Eikouden (Mysterious Play: Eikoden),OVA
125,"Oct 6, 2004 to Dec 29, 2004",24 min. per ep.,13,"Comedy, Romance, School",1983,4891,PG-13 - Teens 13 or older,6.63,Original,Finished Airing,Telecom Animation Film,Futakoi (Twin Love),TV
126,"Apr 7, 2005 to Jun 30, 2005",24 min. per ep.,13,"Comedy, Drama, Romance",2113,3404,PG-13 - Teens 13 or older,7.02,Original,Finished Airing,"ufotable,       feel.,       Studio Flag",Futakoi Alternative,TV
127,"Apr 3, 2000 to Sep 18, 2000",25 min. per ep.,24,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",2636,3224,PG-13 - Teens 13 or older,7.06,Game,Finished Airing,Gonzo,Gate Keepers,TV
128,"Apr 24, 2002 to Jan 8, 2003",30 min. per ep.,6,"Action, Drama, Mecha, Sci-Fi, Shounen",3584,3824,PG-13 - Teens 13 or older,6.89,Game,Finished Airing,Gonzo,Gate Keepers 21,OVA
129,"Apr 4, 2000 to Mar 27, 2001",23 min. per ep.,50,"Adventure, Comedy, Supernatural, Drama, Shounen",1693,1068,R - 17+ (violence & profanity),7.7,Manga,Finished Airing,Studio Pierrot,Gensoumaden Saiyuuki (Saiyuki),TV
130,"Oct 2, 2003 to Mar 25, 2004",20 min. per ep.,25,"Action, Adventure, Comedy, Drama, Fantasy, Shoujo",2447,1507,PG-13 - Teens 13 or older,7.53,Manga,Finished Airing,Studio Pierrot,Saiyuuki Reload (Saiyuki Reload),TV
131,"Apr 2, 2004 to Sep 24, 2004",24 min. per ep.,26,"Action, Adventure, Comedy, Fantasy, Shoujo",2949,1436,PG-13 - Teens 13 or older,7.55,Manga,Finished Airing,Studio Pierrot,Saiyuuki Reload Gunlock (Saiyuki Gunlock),TV
132,"Oct 5, 2002 to Sep 20, 2003",24 min. per ep.,49,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",861,1044,PG-13 - Teens 13 or older,7.71,Manga,Finished Airing,Studio Deen,GetBackers,TV
133,"Jul 12, 2003 to Sep 27, 2003",24 min. per ep.,12,"Comedy, Ecchi, Romance, School, Slice of Life",800,5702,R+ - Mild Nudity,6.41,Visual novel,Finished Airing,Studio Matrix,Green Green,TV
134,"Oct 9, 2003 to Feb 19, 2004",24 min. per ep.,13,"Action, Psychological, Military, Drama, Sci-Fi",554,1462,R - 17+ (violence & profanity),7.54,Manga,Finished Airing,Madhouse,Gunslinger Girl,TV
135,"Oct 10, 2001 to Mar 26, 2003",23 min. per ep.,75,"Comedy, Game, Shounen, Supernatural",904,332,PG-13 - Teens 13 or older,8.18,Manga,Finished Airing,Studio Pierrot,Hikaru no Go,TV
